,Geo_Score,HW p-Value,LD_Score,LG,Min All. Freq,Name
0,0.197704897772,4.96222821935e-21,0.0,1,0.360468010953,s1187_290152
1,0.00016751869577,0.0346906358685,0.00023445031741,1,0.437391304348,s863_381450
2,2.20995044354e-05,0.00428515238481,0.00255824843072,1,0.403970223325,s1492_57885
3,0.00913858854944,0.394630469742,0.00481724368858,1,0.404133466135,s787_264617
4,0.00428904968136,0.103368605458,0.000955283284052,1,0.435728493287,s1346_227941
5,0.000398575212633,0.412655638507,0.0118199808553,1,0.441447041273,s1135_562200
6,0.00819056046851,0.408300801441,0.0163385469991,1,0.323397913562,s816_1076784
7,0.00699582203505,0.236911232352,0.968416197219,1,0.316318926975,s200_39182
8,0.00614318781199,0.665617966933,0.0580289185129,1,0.494210923735,s44_51095
9,0.00151729278079,8.81782448398e-06,0.00373421590733,1,0.350173783515,s1367_16317
10,0.00610638186026,0.000100974306685,0.0014112315599,1,0.35395360439,s899_432971
11,0.000553066972274,0.0414604931756,0.00224999156877,1,0.317079207921,s36_910340
12,0.000770544866171,0.484525537688,0.000938388745719,1,0.358101265823,s282_483674
13,0.00154308422773,0.602016209863,0.00151879184354,1,0.498752183679,s1668_18672
14,0.00275702766555,0.431024059526,0.00302263991052,2,0.326444223108,s801_62707
15,0.000712069816921,0.253808680701,0.002278654704,2,0.421197007481,s334_46968
16,0.0143800286502,2.51660582959e-05,0.00727477119234,2,0.499377334994,s1099_632387
17,0.00394286964714,0.0280567416582,0.0114789826951,2,0.0151515151515,s154_504353
18,0.00649580794191,0.0291707439389,0.0117096677964,2,0.46264728002,s314_526456
19,0.0715853771442,5.87935644609e-05,0.0146162111905,2,0.0893973493373,s2338_45429
20,0.23049433018,9.80195169614e-27,0.0835569313815,2,0.378193996527,s829_8371
21,0.0646300512853,2.05595619265e-05,0.302845608533,2,0.233258650734,s829_204463
22,0.23115565288,1.72900617197e-25,0.994548763088,2,0.378704856787,s316_93292
23,0.054376971185,0.0194335918917,0.154379550907,2,0.204386839482,s316_257789
24,0.0264093266722,0.0718907559434,0.707752167506,2,0.214073339941,s444_38909
25,0.0537995314204,0.0132580004191,0.992551629624,2,0.204636091725,s60_358
26,0.00405019675201,0.94396278896,0.0256298222846,2,0.457089552239,s720_870524
27,0.00147115534856,0.808081120573,0.0422018076479,2,0.296875,s992_223854
28,0.0128191888116,0.44443130947,0.0072843168663,2,0.494415487714,s148_425797
29,0.00344490886589,0.0982985901304,0.0995333936242,2,0.189414694894,s1140_224946
30,0.00593914551602,0.00175089171608,0.0083828136776,2,0.0212475149105,s155_1201194
31,0.000913046963745,0.61493688195,0.00263390437177,2,0.428410513141,s531_811478
32,0.00417640661764,2.6218598993e-05,0.00240972683736,2,0.234612509345,s260_949098
33,0.000247204480541,0.184248797341,0.00226410648084,2,0.272060651255,s1180_371625
34,0.004671309925,0.167663710604,0.00367834606864,3,0.444761668322,s1056_246800
35,0.00306139140328,0.011888187606,0.00277970540945,3,0.422510606439,s930_115738
36,0.00360809922147,1.8801048373e-05,0.00570032909868,3,0.433366484336,s382_741148
37,0.0163436663104,0.0672252753593,0.0065695263612,3,0.443238522954,s705_151285
38,0.00116812516949,0.0219601533529,0.00367700954911,3,0.367344408629,s235_82833
39,0.00297205659737,0.0218693707926,0.00822362389753,3,0.441118012422,s841_188142
40,0.00403889569137,0.541062773761,0.0024125660515,3,0.383784454929,s699_457945
41,0.00483578981006,0.777218062039,0.00586473153363,3,0.279595404595,s699_530828
42,0.00104430003654,0.664611583614,0.00640551389929,3,0.390473827834,s549_1270640
43,0.00177065643287,0.438963707786,0.00327814097143,3,0.493658293957,s751_467474
44,0.00178755271228,0.0460461657624,0.00424752044192,4,0.380397022333,s85_398904
45,0.0105684488602,0.0,0.00299102296141,4,0.383013220254,s217_2722063
46,0.00801614059629,0.0136423825753,0.00447773763346,4,0.489935387674,s743_443660
47,0.00456944292119,0.0505961336818,0.0101085662684,4,0.165136476427,s1274_366692
48,0.00350923514715,0.0557073432173,0.00964494150646,4,0.464347826087,s692_198224
49,0.0368854951695,2.37044997062e-207,0.0174629286383,4,0.475375035381,s91_78256
50,0.107571917068,3.36565802548e-16,0.156675579843,4,0.473134328358,s91_122561
51,0.102718480747,3.24367311665e-11,0.434651794264,4,0.43779547151,s91_181717
52,0.00109481320664,0.29723977211,0.00173717423467,4,0.440417080437,s91_1005996
53,0.0915143262989,5.91994943513e-07,0.462082185372,4,0.286051129312,s1152_21836
54,0.00190148682083,0.0203971946911,0.0110800141971,4,0.461404815091,s16_391553
55,0.00437574149068,0.167380369266,0.00783555095553,4,0.382870599901,s481_103209
56,0.000347849898353,0.577522028494,0.00304296707432,4,0.407734394429,s1258_68093
57,0.00123947921263,0.512612393847,0.0017755138786,4,0.370783730159,s682_573512
58,0.00775149871016,0.666277589299,0.00275741999535,4,0.440738904042,s2786_119740
59,0.00122282323454,0.0390106021153,0.00209579370764,4,0.470866533865,s211_597773
